State,Federal Share,"State Share at20%",Total
Alabama,6473611,1294722,7768334
Alaska,3000000,600000,3600000
Arizona,7842119,1568424,9410542
Arkansas,4703886,940777,5644663
California,36293345,7258669,43552014
Colorado,6665335,1333067,7998402
Connecticut,5381732,1076346,6458079
Delaware,3000000,600000,3600000
District of Columbia,3000000,600000,3600000
Florida,20152160,4030432,24182592
Georgia,10826464,2165293,12991757
Hawaii,3295842,659168,3955010
Idaho,3396453,679291,4075744
Illinois,13899434,2779887,16679321
Indiana,7980108,1596022,9576130
Iowa,4843615,968723,5812338
Kansas,4607890,921578,5529469
Kentucky,6067275,1213455,7280730
Louisiana,6189147,1237829,7426977
Maine,3292585,658517,3951102
Maryland,7422125,1484425,8906550
Massachusetts,8290676,1658135,9948811
Michigan,11247753,2249551,13497303
Minnesota,6930610,1386122,8316732
Mississippi,4712839,942568,5655407
Missouri,7597405,1519481,9116886
Montana,3000000,600000,3600000
Nebraska,3676857,735371,4412229
Nevada,4496720,899344,5396064
New Hampshire,3262422,652484,3914906
New Jersey,10250690,2050138,12300828
New Mexico,3889527,777905,4667433
New York,20463651,4092730,24556381
North Carolina,10897295,2179459,13076753
North Dakota,3000000,600000,3600000
Ohio,12800802,2560160,15360963
Oklahoma,5460972,1092194,6553166
Oregon,5636292,1127258,6763550
Pennsylvania,14155505,2831101,16986605
Puerto Rico,5461964,1092393,6554357
Rhode Island,3016343,603269,3619611
South Carolina,6348027,1269605,7617633
South Dakota,3000000,600000,3600000
Tennessee,7948953,1589791,9538744
Texas,24421231,4884246,29305478
Utah,4321708,864342,5186049
Vermont,3000000,600000,3600000
Virginia,9540102,1908020,11448123
Washington,8308437,1661687,9970124
West Virginia,3797620,759524,4557144
Wisconsin,7332471,1466494,8798965